datetime,cfs,cmd,mmd,siteLs,sitecmd,sitemmd,year,month,day
2/13/06,3.05,7462.043136,8.67E-01,4.22256,364.829184,0.400265579,2006,2,13
2/14/06,2.43,5945.168794,6.90E-01,3.512536,303.4831104,0.332960871,2006,2,14
2/15/06,5.3,12966.82906,1.51E+00,6.79926,587.456064,0.644516535,2006,2,15
2/16/06,8.79,21505.36366,2.50E+00,10.796008,932.7750912,1.023376907,2006,2,16
2/17/06,7.37,18031.2321,2.09E+00,9.169824,792.2727936,0.869227415,2006,2,17
2/18/06,3.1,7584.371712,8.81E-01,4.27982,369.776448,0.405693378,2006,2,18
2/19/06,2.49,6091.963085,7.07E-01,3.581248,309.4198272,0.33947423,2006,2,19
2/20/06,2.12,5186.731622,6.02E-01,3.157524,272.8100736,0.299308517,2006,2,20
2/21/06,2.04,4991.005901,5.80E-01,3.065908,264.8944512,0.290624039,2006,2,21
2/22/06,1.96,4795.280179,5.57E-01,2.974292,256.9788288,0.28193956,2006,2,22
2/23/06,1.88,4599.554458,5.34E-01,2.882676,249.0632064,0.273255082,2006,2,23
2/24/06,1.8,4403.828736,5.11E-01,2.79106,241.147584,0.264570603,2006,2,24
2/25/06,1.8,4403.828736,5.11E-01,2.79106,241.147584,0.264570603,2006,2,25
2/26/06,1.8,4403.828736,5.11E-01,2.79106,241.147584,0.264570603,2006,2,26
2/27/06,1.8,4403.828736,5.11E-01,2.79106,241.147584,0.264570603,2006,2,27
2/28/06,1.73,4232.56873,4.92E-01,2.710896,234.2214144,0.256971685,2006,2,28
3/1/06,1.65,4036.843008,4.69E-01,2.61928,226.305792,0.248287206,2006,3,1
3/2/06,2.56,6263.223091,7.27E-01,3.661412,316.3459968,0.347073148,2006,3,2
3/3/06,1.9,4648.485888,5.40E-01,2.90558,251.042112,0.275426201,2006,3,3
3/4/06,1.8,4403.828736,5.11E-01,2.79106,241.147584,0.264570603,2006,3,4
3/5/06,1.8,4403.828736,5.11E-01,2.79106,241.147584,0.264570603,2006,3,5
3/6/06,1.8,4403.828736,5.11E-01,2.79106,241.147584,0.264570603,2006,3,6
3/7/06,1.8,4403.828736,5.11E-01,2.79106,241.147584,0.264570603,2006,3,7
3/8/06,1.66,4061.308723,4.72E-01,2.630732,227.2952448,0.249372766,2006,3,8
3/9/06,1.61,3938.980147,4.57E-01,2.573472,222.3479808,0.243944967,2006,3,9
